Date,ticker,instrument,open,high,low,close,volume
2015-10-05,IBM,IBM,139.41,143.3,139.41,142.49,5367863
2015-10-06,IBM,IBM,142.5,143.55,141.96,142.24,3156933
2015-10-07,IBM,IBM,143.44,144.1,142.31,143.49,3117917
2015-10-08,IBM,IBM,143.11,146.29,142.72,145.58,5014942
2015-10-09,IBM,IBM,145.76,146.41,144.62,145.69,3693531
2015-10-12,IBM,IBM,145.7,145.87,144.22,144.49,3376070
2015-10-13,IBM,IBM,144.15,144.15,142.62,143.04,4095822
2015-10-14,IBM,IBM,143.02,144.02,142.47,143.41,3507238
2015-10-15,IBM,IBM,144.27,144.59,142.05,143.49,3636105
2015-10-16,IBM,IBM,143.83,144.55,142.7,143.78,3643950
2015-10-19,IBM,IBM,143.26,143.37,141.85,142.66,8320616
2015-10-20,IBM,IBM,136.22,136.6,134.1,134.46,16762778
2015-10-21,IBM,IBM,134.08,136.39,133.17,134.72,7312168
2015-10-22,IBM,IBM,135.51,138.69,135.39,137.75,5840027
2015-10-23,IBM,IBM,138.25,139.09,137.38,138.32,5617438
2015-10-26,IBM,IBM,138.38,138.62,136.91,137.34,3649912
2015-10-27,IBM,IBM,137.2,137.5,131.29,131.8,15698891
2015-10-28,IBM,IBM,131.85,135.02,131.45,134.64,8902924
2015-10-29,IBM,IBM,134.19,134.63,132.91,134.37,3881078
2015-10-30,IBM,IBM,134.26,135.11,133.75,133.92,4167264
2015-11-02,IBM,IBM,134.32,134.34,133.43,134.2,3998021
2015-11-03,IBM,IBM,133.86,136.52,133.75,135.64,4549472
2015-11-04,IBM,IBM,136.28,136.38,135.09,135.4,3678677
2015-11-05,IBM,IBM,135.38,136.12,133.49,133.74,5331357
2015-11-06,IBM,IBM,132.5,133.41,131.81,132.17,4963165
2015-11-09,IBM,IBM,131.85,132.01,128.95,129.36,8447078
2015-11-10,IBM,IBM,129.41,129.77,128.22,129.51,4728757
2015-11-11,IBM,IBM,130.11,130.21,128.59,129.08,3310381
2015-11-12,IBM,IBM,128.78,128.78,127.16,127.19,4917664
2015-11-13,IBM,IBM,127.1,127.15,125.86,125.96,4826035
2015-11-16,IBM,IBM,125.99,128.19,125.99,127.83,4383577
2015-11-17,IBM,IBM,128.32,128.89,127.45,127.93,2944595
2015-11-18,IBM,IBM,128.86,129.93,128.36,129.85,4340063
2015-11-19,IBM,IBM,130.22,131.68,130.03,130.73,4972266
2015-11-20,IBM,IBM,131.33,132.81,131.21,132.41,5414514
2015-11-23,IBM,IBM,132.44,132.76,131.09,132.37,5374243
2015-11-24,IBM,IBM,131.6,133.21,131.27,132.5,3564454
2015-11-25,IBM,IBM,132.28,132.34,131.34,131.93,3387157
2015-11-27,IBM,IBM,131.93,132.71,131.18,132.37,1480927
2015-11-30,IBM,IBM,132.51,133.75,132.43,133.29,4754698
2015-12-01,IBM,IBM,133.44,135.18,133.44,135.07,4388075
2015-12-02,IBM,IBM,134.73,135.0,133.37,133.56,3896768
2015-12-03,IBM,IBM,133.94,134.54,132.11,132.81,6181442
2015-12-04,IBM,IBM,132.02,134.82,131.92,134.25,4781894
2015-12-07,IBM,IBM,134.0,134.24,132.71,133.41,3430252
2015-12-08,IBM,IBM,132.2,132.94,131.48,131.98,4084839
2015-12-09,IBM,IBM,131.34,133.69,130.24,130.6,4827290
2015-12-10,IBM,IBM,131.0,131.79,129.75,130.76,4416526
2015-12-11,IBM,IBM,129.28,129.48,128.02,128.65,5579155
2015-12-14,IBM,IBM,129.36,130.15,128.13,129.95,5380415
2015-12-15,IBM,IBM,131.36,132.86,131.24,131.73,4433471
2015-12-16,IBM,IBM,133.0,133.51,131.73,133.16,4545393
2015-12-17,IBM,IBM,133.22,133.37,130.32,130.74,4277617
2015-12-18,IBM,IBM,130.41,130.94,128.37,128.97,10487301
2015-12-21,IBM,IBM,129.86,129.86,128.13,129.54,5875905
2015-12-22,IBM,IBM,129.9,132.11,129.68,131.86,4459935
2015-12-23,IBM,IBM,132.22,133.18,132.04,132.45,5402485
2015-12-24,IBM,IBM,132.34,132.77,132.04,132.17,1563979
2015-12-28,IBM,IBM,131.68,131.97,130.54,131.56,3287996
2015-12-29,IBM,IBM,132.17,133.9,132.12,133.63,4125110
2015-12-30,IBM,IBM,133.44,134.26,133.1,133.21,3126912
2015-12-31,IBM,IBM,132.95,132.98,131.52,131.57,3621357
2016-01-04,IBM,IBM,129.64,129.99,128.34,129.97,5469952
2016-01-05,IBM,IBM,130.75,130.87,128.92,129.88,4105341
2016-01-06,IBM,IBM,128.47,129.62,127.74,129.23,4509201
2016-01-07,IBM,IBM,127.82,129.08,126.61,127.02,7348987
2016-01-08,IBM,IBM,127.32,127.93,125.54,125.84,4981784
2016-01-11,IBM,IBM,126.01,127.93,125.97,127.37,5203222
2016-01-12,IBM,IBM,127.77,127.9,125.36,127.06,5312320
2016-01-13,IBM,IBM,127.63,128.37,125.33,125.4,4916305
2016-01-14,IBM,IBM,126.13,127.91,125.45,127.07,5972242
2016-01-15,IBM,IBM,124.29,125.12,123.2,124.31,9422891
2016-01-19,IBM,IBM,124.39,126.29,122.43,122.48,10438662
2016-01-20,IBM,IBM,113.25,118.54,112.81,116.5,16901059
2016-01-21,IBM,IBM,115.97,119.6,115.28,117.5,9258774
2016-01-22,IBM,IBM,119.19,119.25,116.41,117.11,9663366
2016-01-25,IBM,IBM,116.73,118.77,116.29,116.71,5696516
2016-01-26,IBM,IBM,116.87,118.17,116.86,117.2,4830219
2016-01-27,IBM,IBM,117.33,117.94,115.34,115.64,5257614
2016-01-28,IBM,IBM,115.93,117.43,115.69,116.85,4123855
2016-01-29,IBM,IBM,117.86,119.3,117.55,119.3,8627513
2016-02-01,IBM,IBM,118.93,119.78,118.27,119.34,3739345
2016-02-02,IBM,IBM,118.23,118.68,117.25,117.53,3438516
2016-02-03,IBM,IBM,118.54,119.93,116.91,119.24,6509781
2016-02-04,IBM,IBM,119.58,122.85,119.5,122.04,5508759
2016-02-05,IBM,IBM,121.63,122.98,120.32,122.92,7507874
